1955,1.7161650905223e+20
1956,1.40081040431987e+20
1957,2.58090615414773e+20
1958,3.26328082623985e+20
1959,2.93886085303863e+20
1960,2.44330335768629e+20
1961,2.89061117437316e+20
1962,2.31057936599635e+20
1963,2.7188850197701e+20
1964,2.37919765036124e+20
1965,3.32825568438684e+20
1966,2.62726259067268e+20
1967,2.52523261292723e+20
1968,2.06342317030977e+20
1969,3.61111690206862e+20
1970,3.87518735558092e+20
1971,2.6917354396689e+20
1972,3.63119799481444e+20
1973,3.42157651640693e+20
1974,1.92193724247774e+20
1975,2.85160885174386e+20
1976,2.65444225821174e+20
1977,3.82262130086357e+20
1978,3.14203377288897e+20
1979,4.0074506724421e+20
1980,4.71030854469152e+20
1981,3.37225272575537e+20
1982,3.73477320453443e+20
1983,4.72539428252419e+20
1984,3.07689835596816e+20
1985,3.35382730299984e+20
1986,3.73445715890699e+20
1987,5.17053865237417e+20
1988,4.23184947554756e+20
1989,3.22878196997218e+20
1990,4.0587136607643e+20
1991,4.49218974825873e+20
1992,4.26567675525897e+20
1993,3.64193210438138e+20
1994,4.76180865544389e+20
1995,4.66993682586326e+20
1996,3.93960418343263e+20
1997,4.20225698928766e+20
1998,4.83319213899368e+20
1999,3.56100345732237e+20
2000,3.6552939247311e+20
2001,4.56373701433526e+20
2002,5.7159682542499e+20
2003,5.24942651404666e+20
2004,4.64034908284086e+20
2005,5.93404326020033e+20
2006,5.36298739654642e+20
2007,5.59628727939018e+20
2008,5.24822486599933e+20
2009,5.83176050840908e+20
2010,5.86353998216928e+20
2011,5.38841929776517e+20
2012,6.63612661705991e+20
2013,6.0378057818174e+20
2014,6.02771798697097e+20
2015,7.05839524252972e+20
2016,6.48211146872013e+20
2017,6.01948410908466e+20
2018,6.24949454942068e+20
2019,6.99024399214828e+20
